ID Único;Cliente;Modelo;Fecha;Video Path;Grifo;Ciclo #;Hora Inicio;Hora Fin;Duración (s);Cervezas;Tamaño (ml);Espuma (%);Mala Praxis;Causas Error;Clip Path;URL Video
Cerveza Chatter Las Tablas_00_20260202141754.mp4_Heineken_655701;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202141754.mp4;Heineken;1;14:28:49;14:32:49;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202141754_Heineken_evt_001.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202141754_Heineken_evt_001.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_1020012;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;1;14:50:15;14:54:15;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_002.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_002.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_1683571;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;2;15:01:18;15:01:29;11;1;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_003.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_003.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_1975336;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;3;15:06:10;15:10:10;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_004.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_004.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_2324455;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;4;15:11:59;15:15:59;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_005.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_005.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_3482848;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;5;15:31:17;15:35:17;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_006.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_006.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_4004024;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;6;15:39:59;15:43:59;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_007.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_007.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_4266447;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;7;15:44:21;15:48:21;240;0;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_008.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_008.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202143315.mp4_Heineken_5135742;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202143315.mp4;Heineken;8;15:58:50;16:00:24;94;1;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202143315_Heineken_evt_009.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202143315_Heineken_evt_009.mp4?alt=media
Cerveza Chatter Las Tablas_00_20260202115836.mp4_Aguila_4318806;ChatterTablas;ChattersModel_v2.pt;2026-02-02;C:\Proyectos gambooza\chatter_videos_dias\2026-02-02\Cerveza Chatter Las Tablas_00_20260202115836.mp4;Aguila;1;13:10:34;13:11:08;33;1;330;;;;clips/ChatterTablas/20260202/ChatterTablas_20260202115836_Aguila_evt_010.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FChatterTablas%2F20260202%2FChatterTablas_20260202115836_Aguila_evt_010.mp4?alt=media
