ID Único;Cliente;Modelo;Fecha;Video Path;Grifo;Ciclo #;Hora Inicio;Hora Fin;Duración (s);Cervezas;Tamaño (ml);Espuma (%);Mala Praxis;Causas Error;Clip Path;URL Video
El Parnasillo_00_20260105142534.mp4_Surtidor 1_999;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142534.mp4;Surtidor 1;1;14:25:34;14:29:35;240;0;330;;;;clips/Parnasillo/20260105/Parnasillo_20260105142534_Surtidor 1_evt_001.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142534_Surtidor%201_evt_001.mp4?alt=media
El Parnasillo_00_20260105142534.mp4_Surtidor 1_242493;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142534.mp4;Surtidor 1;2;14:29:36;14:33:36;240;0;330;;;;clips/Parnasillo/20260105/Parnasillo_20260105142534_Surtidor 1_evt_002.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142534_Surtidor%201_evt_002.mp4?alt=media
El Parnasillo_00_20260105142534.mp4_Surtidor 1_483986;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142534.mp4;Surtidor 1;3;14:33:37;14:37:38;240;0;330;;;;clips/Parnasillo/20260105/Parnasillo_20260105142534_Surtidor 1_evt_003.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142534_Surtidor%201_evt_003.mp4?alt=media
El Parnasillo_00_20260105142534.mp4_Surtidor 1_3481899;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142534.mp4;Surtidor 1;4;15:23:35;15:27:36;240;0;330;;;;clips/Parnasillo/20260105/Parnasillo_20260105142534_Surtidor 1_evt_004.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142534_Surtidor%201_evt_004.mp4?alt=media
El Parnasillo_00_20260105142605.mp4_Surtidor 1_2625979;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142605.mp4;Tap 2;1;15:09:50;15:13:19;209;1;500;;;;clips/Parnasillo/20260105/Parnasillo_20260105142605_Surtidor 1_evt_005.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142605_Surtidor%201_evt_005.mp4?alt=media
El Parnasillo_00_20260105142605.mp4_Surtidor 1_4835962_S1;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142605.mp4;Tap 2;2;15:46:40;15:48:04;84;1;500;;;;clips/Parnasillo/20260105/Parnasillo_20260105142605_Surtidor 1_evt_006.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142605_Surtidor%201_evt_006.mp4?alt=media
El Parnasillo_00_20260105142605.mp4_Surtidor 1_4835962_S2;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142605.mp4;Tap 2;3;15:46:40;15:48:04;84;1;500;;;;clips/Parnasillo/20260105/Parnasillo_20260105142605_Surtidor 1_evt_006.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142605_Surtidor%201_evt_006.mp4?alt=media
El Parnasillo_00_20260105142605.mp4_Surtidor 1_7467942;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105142605.mp4;Surtidor 1;4;16:30:32;16:30:47;15;0;330;;;;clips/Parnasillo/20260105/Parnasillo_20260105142605_Surtidor 1_evt_007.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105142605_Surtidor%201_evt_007.mp4?alt=media
El Parnasillo_00_20260105000023.mp4_Surtidor 1_797494;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105000023.mp4;Tap 1 [left];1;00:13:40;00:14:17;37;1;250;;MP-3: wrong type of glass;;clips/Parnasillo/20260105/Parnasillo_20260105000023_Surtidor 1_evt_008.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105000023_Surtidor%201_evt_008.mp4?alt=media
CProyectosgamboozaParnasillovideosdias20260105ElParnasillo0020260105000023mp4_MANUAL_ml6u1kjg;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105000023.mp4;Tap 1 [left];2;00:13:40;00:14:17;37;1;250;;;;clips/Parnasillo/20260105/Parnasillo_20260105000023_Surtidor 1_evt_008.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105000023_Surtidor%201_evt_008.mp4?alt=media
El Parnasillo_00_20260105000023.mp4_Surtidor 1_1212991;Parnasillo;Parnasillo_v1.pt;2026-01-05;C:\Proyectos gambooza\Parnasillo_videos_dias\2026-01-05\El Parnasillo_00_20260105000023.mp4;Tap 1 [left];3;00:20:35;00:21:15;39;1;500;;;;clips/Parnasillo/20260105/Parnasillo_20260105000023_Surtidor 1_evt_009.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FParnasillo%2F20260105%2FParnasillo_20260105000023_Surtidor%201_evt_009.mp4?alt=media
